"","MXX.Adjusted","time"
"1",7.35876721733387,1993.43835616438
"2",7.35474611856961,1993.44109589041
"3",7.35589667670228,1993.44931506849
"4",7.36118478247001,1993.45205479452
"5",7.37255787565111,1993.45479452055
"6",7.38974926633941,1993.45753424658
"7",7.40263446079102,1993.4602739726
"8",7.40998407004694,1993.46849315068
"9",7.40476594352338,1993.47123287671
"10",7.40816687895,1993.47397260274
"11",7.406650026453,1993.47671232877
"12",7.40816687895,1993.47945205479
"13",7.41986011360892,1993.48767123288
"14",7.42981753467412,1993.4904109589
"15",7.41836090795105,1993.49315068493
"16",7.41601763478192,1993.49589041096
"17",7.41577697541539,1993.49863013699
"18",7.41481383063323,1993.50684931507
"19",7.40683212596613,1993.5095890411
"20",7.41064953242185,1993.51232876712
"21",7.42934275630686,1993.51506849315
"22",7.44044023710102,1993.51780821918
"23",7.44914891828103,1993.52602739726
"24",7.45454629481933,1993.52876712329
"25",7.45443055564183,1993.53150684932
"26",7.44879970985698,1993.53424657534
"27",7.4486250240965,1993.53698630137
"28",7.4483920863427,1993.54520547945
"29",7.44120310952678,1993.54794520548
"30",7.43337098822076,1993.55068493151
"31",7.42738207297502,1993.55342465753
"32",7.46141046692721,1993.55616438356
"33",7.48099216286952,1993.56438356164
"34",7.47641576800988,1993.56712328767
"35",7.46719959564577,1993.5698630137
"36",7.47454525704931,1993.57260273973
"37",7.48042830607421,1993.57534246575
"38",7.48840540089775,1993.58356164384
"39",7.48082301158567,1993.58630136986
"40",7.49581968308893,1993.58904109589
"41",7.49947861612317,1993.59178082192
"42",7.49853746615751,1993.59452054795
"43",7.49665243816828,1993.60273972603
"44",7.48952384417215,1993.60547945205
"45",7.49859284071751,1993.60821917808
"46",7.48228785579127,1993.61095890411
"47",7.51261754467451,1993.61369863014
"48",7.51844431049571,1993.62191780822
"49",7.53342629441717,1993.62465753425
"50",7.53273065321029,1993.62739726027
"51",7.53689712956617,1993.6301369863
"52",7.54734341659955,1993.63287671233
"53",7.56703540244387,1993.64109589041
"54",7.56028878915418,1993.64383561644
"55",7.55684609894867,1993.64657534247
"56",7.56703540244387,1993.64931506849
"57",7.57034017921978,1993.65205479452
"58",7.55700280471353,1993.6602739726
"59",7.55108179030965,1993.66301369863
"60",7.55836021071163,1993.66575342466
"61",7.56672503309232,1993.66849315068
"62",7.56641450372372,1993.67123287671
"63",7.56506799409506,1993.67945205479
"64",7.57522563788933,1993.68219178082
"65",7.56930861323731,1993.68493150685
"66",7.56765585334278,1993.68767123288
"67",7.56346016406621,1993.6904109589
"68",7.54401461003748,1993.69863013699
"69",7.52741739664779,1993.70136986301
"70",7.52131798019924,1993.70410958904
"71",7.52131798019924,1993.70684931507
"72",7.51086836364629,1993.7095890411
"73",7.49637493018815,1993.71780821918
"74",7.48087944456666,1993.72054794521
"75",7.49348430005308,1993.72328767123
"76",7.51070419162393,1993.72602739726
"77",7.51904145965173,1993.72876712329
"78",7.51735776719696,1993.73698630137
"79",7.52072225541634,1993.7397260274
"80",7.52580171344365,1993.74246575342
"81",7.51447274462699,1993.74520547945
"82",7.51010210835619,1993.74794520548
"83",7.51985510725711,1993.75616438356
"84",7.52196744494166,1993.75890410959
"85",7.52245430023365,1993.76164383562
"86",7.52288687553102,1993.76438356164
"87",7.52897669364339,1993.76712328767
"88",7.55102918329348,1993.77534246575
"89",7.55102918329348,1993.77808219178
"90",7.57152512847365,1993.78082191781
"91",7.57691708450027,1993.78356164384
"92",7.58472227550879,1993.78630136986
"93",7.59417990170031,1993.79452054795
"94",7.58044461763969,1993.79726027397
"95",7.58953814160018,1993.8
"96",7.60349906095288,1993.80273972603
"97",7.60762978029151,1993.80547945205
"98",7.60354897891823,1993.81369863014
"99",7.6163820062668,1993.81643835616
"100",7.6060889981673,1993.81917808219
"101",7.59070057230626,1993.82191780822
"102",7.60906903411088,1993.82465753425
"103",7.61100131847332,1993.83287671233
"104",7.61100131847332,1993.83561643836
"105",7.60110245154235,1993.83835616438
"106",7.60688453121963,1993.84109589041
"107",7.58482387713489,1993.84383561644
"108",7.56444593497702,1993.85205479452
"109",7.57717312055469,1993.85479452055
"110",7.61879148059058,1993.85753424658
"111",7.62866355415668,1993.8602739726
"112",7.65406398442476,1993.86301369863
"113",7.66058546170326,1993.87123287671
"114",7.67614909164073,1993.87397260274
"115",7.67247861241596,1993.87671232877
"116",7.68054510981871,1993.87945205479
"117",7.68969139993769,1993.88219178082
"118",7.68836375776031,1993.8904109589
"119",7.6816525866278,1993.89315068493
"120",7.67975989490399,1993.89589041096
"121",7.71011556648061,1993.89863013699
"122",7.722677516468,1993.90136986301
"123",7.70760205618065,1993.9095890411
"124",7.70201398305438,1993.91232876712
"125",7.71042928406932,1993.91506849315
"126",7.72784341140398,1993.91780821918
"127",7.75100204561563,1993.92054794521
"128",7.77611547709874,1993.92876712329
"129",7.77619938083848,1993.93150684932
"130",7.79696252230846,1993.93424657534
"131",7.78243207700151,1993.93698630137
"132",7.78713299215872,1993.9397260274
"133",7.78783839453213,1993.94794520548
"134",7.76920964636007,1993.95068493151
"135",7.77900676204011,1993.95342465753
"136",7.79272040836598,1993.95616438356
"137",7.80547462527086,1993.95890410959
"138",7.82043951526218,1993.96712328767
"139",7.81589284433945,1993.9698630137
