"","GSPC.Adjusted","time"
"1",5.12912915853547,1984.71038251366
"2",5.12187843712339,1984.7131147541
"3",5.11763447840294,1984.71584699454
"4",5.12080423671761,1984.71857923497
"5",5.10999784587825,1984.72131147541
"6",5.10764099932099,1984.72950819672
"7",5.10969597741596,1984.73224043716
"8",5.11367310837048,1984.7349726776
"9",5.11775430469515,1984.73770491803
"10",5.11259005274207,1984.74043715847
"11",5.10363975717152,1984.74863387978
"12",5.09736327315471,1984.75136612022
"13",5.09030871513034,1984.75409836066
"14",5.09325927050425,1984.75683060109
"15",5.09178503800976,1984.75956284153
"16",5.08839851340143,1984.76775956284
"17",5.08555720824264,1984.77049180328
"18",5.08827512332213,1984.77322404372
"19",5.09239958975563,1984.77595628415
"20",5.10096334428399,1984.77868852459
"21",5.11060130956659,1984.7868852459
"22",5.10461124481875,1984.78961748634
"23",5.10071971610921,1984.79234972678
"24",5.12455907610761,1984.79508196721
"25",5.12372589749258,1984.79781420765
"26",5.1201471868517,1984.80601092896
"27",5.11853256546686,1984.8087431694
"28",5.11919068270802,1984.81147540984
"29",5.11385350465631,1984.81420765027
"30",5.10770146457945,1984.81693989071
"31",5.10461124481875,1984.82513661202
"32",5.11703524535368,1984.82786885246
"33",5.11252978602758,1984.8306010929
"34",5.12092367784291,1984.83333333333
"35",5.12050561328591,1984.83606557377
"36",5.12741042643314,1984.84426229508
"37",5.1382073215921,1984.84699453552
"38",5.13090411466477,1984.84972677596
"39",5.12800338737966,1984.85245901639
"40",5.1215802238475,1984.85519125683
"41",5.1201471868517,1984.86338797814
"42",5.11180705515781,1984.86612021858
"43",5.11192757570042,1984.86885245902
"44",5.11132491207609,1984.87158469945
"45",5.10047603465912,1984.87431693989
"46",5.09430217114249,1984.8825136612
"47",5.10096334428399,1984.88524590164
"48",5.10297132823804,1984.88797814208
"49",5.11751464374156,1984.89344262295
"50",5.10927328211467,1984.90163934426
"51",5.11373321000469,1984.9043715847
"52",5.10606670291568,1984.90710382514
"53",5.0993175211049,1984.90983606557
"54",5.09730217953326,1984.91256830601
"55",5.09264533913809,1984.92076502732
"56",5.09607880651722,1984.92349726776
"57",5.08821346575582,1984.9262295082
"58",5.09227669241341,1984.92896174863
"59",5.08919995615218,1984.93169398907
"60",5.09270672405888,1984.93989071038
"61",5.09417959939954,1984.94262295082
"62",5.09147771268499,1984.94535519126
"63",5.08642279505154,1984.94808743169
"64",5.0918465618144,1984.95081967213
"65",5.09748555310708,1984.95901639344
"66",5.12461853299345,1984.96174863388
"67",5.11895146150888,1984.96448087432
"68",5.11427435890743,1984.96721311475
"69",5.10903158574279,1984.96994535519
"70",5.11655562302939,1984.9781420765
"71",5.11481511901301,1984.98360655738
"72",5.11048062906597,1984.98633879781
"73",5.11355279802956,1984.98907103825
"74",5.11942993638552,1984.99726775956
"75",5.10818535742687,1985.00273972603
"76",5.10333605414238,1985.00547945205
"77",5.09791325943694,1985.00821917808
"78",5.10132880315393,1985.01643835616
"79",5.09980548084502,1985.01917808219
"80",5.10703574600456,1985.02191780822
"81",5.12580750525524,1985.02465753425
"82",5.12342814539366,1985.02739726027
"83",5.13879391670627,1985.03561643836
"84",5.14055181594105,1985.03835616438
"85",5.14277406246961,1985.04109589041
"86",5.14008333785434,1985.04383561644
"87",5.14353319360638,1985.04657534247
"88",5.16609937389319,1985.05479452055
"89",5.16752505350339,1985.05753424658
"90",5.17784323000064,1985.0602739726
"91",5.17451001043289,1985.06301369863
"92",5.17812521505104,1985.06575342466
"93",5.17840703605361,1985.07397260274
"94",5.18839084810257,1985.07671232877
"95",5.18956220113655,1985.07945205479
"96",5.19089920761574,1985.08219178082
"97",5.18531665545161,1985.08493150685
"98",5.19489944061819,1985.09315068493
"99",5.19634001597236,1985.09589041096
"100",5.195342852124,1985.09863013699
"101",5.20301722519333,1985.10136986301
"102",5.20505010955514,1985.10410958904
"103",5.19578615020107,1985.11232876712
"104",5.19606312143263,1985.11506849315
"105",5.21139692724163,1985.11780821918
"106",5.20625692262745,1985.12054794521
"107",5.20180649920684,1985.12328767123
"108",5.20031858669555,1985.13424657534
"109",5.19949097360553,1985.13698630137
"110",5.19401186083812,1985.1397260274
"111",5.18939496489923,1985.14246575342
"112",5.18866987492581,1985.15068493151
"113",5.19943580594856,1985.15342465753
"114",5.19689357514617,1985.15616438356
"115",5.19949097360553,1985.15890410959
"116",5.2107421724616,1985.16164383562
"117",5.20433629209175,1985.1698630137
"118",5.20526960354768,1985.17260273973
"119",5.19656142438025,1985.17534246575
"120",5.19023088882938,1985.17808219178
"121",5.1879443425675,1985.18082191781
"122",5.18621189361165,1985.18904109589
"123",5.19106619806534,1985.19178082192
"124",5.1828504079633,1985.19452054795
"125",5.18088424716381,1985.19726027397
"126",5.17349082793643,1985.2
"127",5.17547156481694,1985.20821917808
"128",5.19039798534002,1985.21095890411
"129",5.18783264454096,1985.21369863014
"130",5.18933923743243,1985.21643835616
"131",5.18760920546621,1985.21917808219
"132",5.18161500238082,1985.22739726027
"133",5.18419632821227,1985.2301369863
"134",5.19039798534002,1985.23287671233
"135",5.19039798534002,1985.23561643836
"136",5.19661683386274,1985.23835616438
"137",5.19998765454136,1985.24657534247
"138",5.19589696340932,1985.24931506849
"139",5.18800014782033,1985.25205479452
"140",5.18755338397753,1985.25479452055
"141",5.18195206979974,1985.26575342466
"142",5.18296266946451,1985.26849315068
"143",5.18972941498411,1985.27123287671
"144",5.19401186083812,1985.27397260274
"145",5.19595232109744,1985.27671232877
"146",5.19805493355503,1985.28493150685
