t_c,m,omega,phi
1997.9732942536195,0.6647233972068453,8.507215182477358,5.773690127509852
1997.8372162781834,0.6195145082120103,9.024390787123256,5.137582739516112
1998.5220969000723,0.6704768835283504,12.069023816739172,5.498724886408932
1997.664252294446,0.5597462126819384,6.593258285827048,3.772731461779579
1998.1359787017398,0.5628643816026551,11.1860053796166,1.1941982392414898
1998.20891704587,0.561845746201774,11.134537294312999,1.76801399370996
1997.7832074743792,0.36310466563087807,8.703896472468202,5.1871135871588265
1997.7635127266199,0.8137146296910942,6.4646240681177,4.21409358758147
1997.8904946186283,0.505367130549229,7.681048730851329,5.2566901077567865
1997.6861712347074,0.5210259625114673,8.504673058759108,4.3063734811636705
1998.4171228676398,0.8231293000591301,11.5956680593081,4.098826702108259
1997.6597798932999,0.47901144447705707,7.773977185712434,3.104321784446489

