"","A","B","C","loss","t_c","m","omega","phi"
"1",8.7,-0.8,0.02,5.71841494508862,2000.58339593814,0.522959164188554,9.68737949745264,1.79172880205263
"2",8.3,-0.6,0.02,5.79603539267084,2000.02772693622,0.574525857406358,12.8542191488668,5.0423388813796
"3",8.3,-0.6,0.03,5.82889565115032,2000.05248442718,0.579275487021853,8.73708441151151,5.63900958946385
"4",8.5,-0.7,0.03,5.90253265170351,2000.31213548323,0.564804194122553,9.82877581100911,1.86229187977186
"5",8.7,-0.7,0.03,5.98153936966546,2000.97237176858,0.573496402489642,12.6791993393951,1.13635766047112
"6",8.7,-0.9,0.02,5.99756736953399,2000.37181643465,0.458133897650987,11.0158075730239,3.26881498715064
"7",8.6,-0.8,0.03,6.05648258589124,2000.28733450476,0.496680198144168,9.61442717614894,0.313607944736358
"8",8.5,-0.7,0.04,6.12459594181794,2000.28895233423,0.560318250053873,10.047787544822,2.02179161114922
"9",8.7,-0.7,0.01,6.15598810918265,2000.76710097855,0.594223212699095,10.7222130509326,4.09541494649399
"10",8.7,-0.8,0.03,6.16593489947561,2000.57191164705,0.523427247411261,11.1644356340403,4.51393064092969
"11",8.6,-0.7,0.03,6.23189833129117,2000.60601806833,0.562349749729037,10.589881260142,3.67197520999979
"12",8.4,-0.7,0.04,6.31132813775963,2000.03193265392,0.520610645941148,9.46359892721133,6.07772382039634
"13",8.7,-0.7,0.04,6.38644307663915,2000.78875761454,0.591055117019763,11.9646155425968,5.7414294821473
"14",8.6,-0.8,0.02,6.41201538644265,2000.24507215625,0.514103657286614,8.84537596651353,5.7895165656702
"15",8.6,-0.9,0.04,6.42164895924068,2000.11149853924,0.42149739023298,9.16679859584353,5.59546329198958
