"","A","B","C","loss","t_c","m","omega","phi"
"1",8.7,-0.8,0.02,5.71841494508862,2000.58339593814,0.522959164188554,9.68737949745264,1.79172880205263
"2",8.3,-0.6,0.02,5.79603539267084,2000.02772693622,0.574525857406358,12.8542191488668,5.0423388813796
"3",8.3,-0.6,0.03,5.82889565115032,2000.05248442718,0.579275487021853,8.73708441151151,5.63900958946385
"4",8.5,-0.7,0.03,5.90253265170351,2000.31213548323,0.564804194122553,9.82877581100911,1.86229187977186
"5",8.7,-0.7,0.03,5.98153936966546,2000.97237176858,0.573496402489642,12.6791993393951,1.13635766047112
"6",8.7,-0.9,0.02,5.99756736953399,2000.37181643465,0.458133897650987,11.0158075730239,3.26881498715064
"7",8.6,-0.8,0.03,6.05648258589124,2000.28733450476,0.496680198144168,9.61442717614894,0.313607944736358
"8",8.5,-0.7,0.04,6.12459594181794,2000.28895233423,0.560318250053873,10.047787544822,2.02179161114922
"9",8.7,-0.7,0.01,6.15598810918265,2000.76710097855,0.594223212699095,10.7222130509326,4.09541494649399
"10",8.7,-0.8,0.03,6.16593489947561,2000.57191164705,0.523427247411261,11.1644356340403,4.51393064092969
"11",8.6,-0.7,0.03,6.23189833129117,2000.60601806833,0.562349749729037,10.589881260142,3.67197520999979
"12",8.4,-0.7,0.04,6.31132813775963,2000.03193265392,0.520610645941148,9.46359892721133,6.07772382039634
"13",8.7,-0.7,0.04,6.38644307663915,2000.78875761454,0.591055117019763,11.9646155425968,5.7414294821473
"14",8.6,-0.8,0.02,6.41201538644265,2000.24507215625,0.514103657286614,8.84537596651353,5.7895165656702
"15",8.6,-0.9,0.04,6.42164895924068,2000.11149853924,0.42149739023298,9.16679859584353,5.59546329198958
"16",8.5,-0.7,0.01,6.44580896803848,2000.33255195872,0.559529796056449,9.67273971446169,2.20193428013255
"17",8.5,-0.8,0.03,6.44877103473994,2000.06067605307,0.476680714233468,8.71448363305535,4.63529979292965
"18",8.5,-0.7,0.02,6.46108226849871,2000.29485907909,0.549156167296072,11.3968258917254,2.05428588754626
"19",8.6,-0.8,0.01,6.49002176042331,2000.36584271543,0.497923886682838,12.1545399736691,3.49007947142264
"20",8.7,-0.8,0.01,6.4907748268069,2000.55067964044,0.51331452873225,9.73085088566101,1.32556693370539
"21",8.3,-0.6,0.04,6.53792182017274,1999.99294402627,0.59450880602623,12.9826917907145,4.84947627964953
"22",8.4,-0.7,0.02,6.59182006165436,2000.05563239899,0.544356810674071,8.88947124282519,6.21828132641113
"23",8.5,-0.8,0.02,6.60900798781707,2000.10314923045,0.475857122987509,7.96763960411772,5.0304774933166
"24",8.5,-0.8,0.01,6.62580633972849,2000.07174712457,0.478710997228821,12.9423351336736,4.45140579408075
"25",8.7,-0.9,0.04,6.78980184612994,2000.30172459368,0.45200367125993,9.1643945183993,0.254428854684003
"26",8.7,-0.8,0.04,6.84513927024481,2000.62540696319,0.514010519968967,9.78145578697634,2.05631960188148
"27",8.6,-0.7,0.04,6.89210275031096,2000.50277757263,0.596408598249157,9.21841174414537,1.24389296294049
