"","price","t"
"1",8.98404182451665,1995.11780821918
"2",8.96988536268772,1995.12054794521
"3",9.00000199558694,1995.12328767123
"4",9.00372200026862,1995.12602739726
"5",8.99255742690407,1995.12876712329
"6",8.97546580494889,1995.13698630137
"7",8.99743174034758,1995.1397260274
"8",8.97579453661599,1995.14246575342
"9",8.98424244854929,1995.14520547945
"10",9.0142038261485,1995.14794520548
"11",9.00291024007644,1995.15616438356
"12",9.02731857006783,1995.15890410959
"13",9.02364928266429,1995.16164383562
"14",9.01836837572314,1995.16438356164
"15",9.01008294827216,1995.16712328767
"16",8.99886595842087,1995.17534246575
"17",9.00438576504225,1995.17808219178
"18",8.97840831462889,1995.18082191781
"19",8.99675100932356,1995.18356164384
"20",8.98085172077416,1995.18630136986
"21",9.00101340615385,1995.19452054795
"22",8.99895246377966,1995.19726027397
"23",9.03183554559121,1995.2
"24",9.02975328671644,1995.20273972603
"25",9.0518955080738,1995.20547945205
"26",9.05886615284707,1995.21369863014
"27",9.05722413417923,1995.21643835616
"28",9.048891412092,1995.21917808219
"29",9.04401422716414,1995.22191780822
"30",9.04601984351432,1995.22465753425
"31",9.06964048987305,1995.23287671233
"32",9.08567248400984,1995.23561643836
"33",9.07484130818441,1995.23835616438
"34",9.06833894625409,1995.24109589041
"35",9.05808624863151,1995.24383561644
"36",9.03603464929068,1995.25205479452
"37",9.04686809300871,1995.25479452055
"38",9.04686809300871,1995.25753424658
"39",9.03815133082488,1995.2602739726
"40",9.04432118312357,1995.26301369863
"41",9.04426215159345,1995.27123287671
"42",9.04953757014742,1995.27397260274
"43",9.04896199121711,1995.27671232877
"44",9.06670092177457,1995.27945205479
"45",9.06670092177457,1995.28219178082
"46",9.06670092177457,1995.2904109589
"47",9.06473639811739,1995.29315068493
"48",9.05741065874908,1995.29589041096
"49",9.06316204101739,1995.29863013699
"50",9.06478271179331,1995.30136986301
"51",9.06248975936722,1995.3095890411
"52",9.04848000310916,1995.31232876712
"53",9.02228643986835,1995.31506849315
"54",9.02549160106507,1995.31780821918
"55",9.03133331615006,1995.32054794521
"56",9.01505514879037,1995.32876712329
"57",9.01336390775352,1995.33150684932
"58",9.02397467204797,1995.33424657534
"59",9.02639347162672,1995.33698630137
"60",9.02788282933657,1995.3397260274
"61",9.04645585059976,1995.34794520548
"62",9.05650126465517,1995.35068493151
"63",9.08215471012389,1995.35342465753
"64",9.10783136412512,1995.35616438356
"65",9.12889165520995,1995.35890410959
"66",9.12584943110811,1995.36712328767
"67",9.12285249657012,1995.3698630137
"68",9.12371439652802,1995.37260273973
"69",9.11775350204503,1995.37534246575
"70",9.10645652162241,1995.37808219178
"71",9.11148092240921,1995.38630136986
