"","price","t"
"1",6.61147638216721,1995.00547945205
"2",6.61451113618923,1995.00821917808
"3",6.61426969602715,1995.01095890411
"4",6.61965979041902,1995.01369863014
"5",6.62285603353968,1995.02191780822
"6",6.6287289968571,1995.02465753425
"7",6.62769738845111,1995.02739726027
"8",6.62871576513029,1995.0301369863
"9",6.63615647197289,1995.03287671233
"10",6.6439980096337,1995.04109589041
"11",6.64916590016016,1995.04383561644
"12",6.6494766633731,1995.04657534247
"13",6.64450560705712,1995.04931506849
"14",6.63601215458486,1995.05205479452
"15",6.63267350167248,1995.0602739726
"16",6.63752013585735,1995.06301369863
"17",6.63460705002549,1995.06575342466
"18",6.63010273952748,1995.06849315068
"19",6.63188315771237,1995.07123287671
"20",6.62251025717527,1995.07945205479
"21",6.62698263072112,1995.08219178082
"22",6.63109227037535,1995.08493150685
"23",6.63809649356922,1995.08767123288
"24",6.6490622646215,1995.0904109589
"25",6.65781844195795,1995.09863013699
"26",6.65797249698911,1995.10136986301
"27",6.66411563548054,1995.10410958904
"28",6.66624407285609,1995.10684931507
"29",6.67257709232302,1995.1095890411
"30",6.671298477071,1995.11780821918
"31",6.67281744146107,1995.12054794521
"32",6.67913425994389,1995.12328767123
"33",6.67621406327909,1995.12602739726
"34",6.66819009139973,1995.12876712329
"35",6.66519951777395,1995.1397260274
"36",6.66940924454069,1995.14246575342
"37",6.67374031745137,1995.14520547945
"38",6.67339912194343,1995.14794520548
"39",6.66504657217309,1995.15616438356
"40",6.67674332784158,1995.15890410959
"41",6.67439723061344,1995.16164383562
"42",6.67668034852197,1995.16438356164
"43",6.68309805514347,1995.16712328767
"44",6.68182036042479,1995.17534246575
"45",6.67371509567554,1995.17808219178
"46",6.67936046137206,1995.18082191781
"47",6.67990063537878,1995.18356164384
"48",6.68738284831403,1995.18630136986
"49",6.68749506435466,1995.19452054795
"50",6.69485903174691,1995.19726027397
"51",6.69379444343545,1995.2
"52",6.69621913407016,1995.20273972603
"53",6.69497041201465,1995.20547945205
"54",6.69763899069848,1995.21369863014
"55",6.69676264164911,1995.21643835616
"56",6.69592248915121,1995.21917808219
"57",6.69874884480558,1995.22191780822
"58",6.70766882426257,1995.22465753425
"59",6.71250653093951,1995.23287671233
"60",6.71676426884106,1995.23561643836
"61",6.70827939200752,1995.23835616438
"62",6.70546770318431,1995.24109589041
"63",6.70589612669597,1995.24383561644
"64",6.70692344476006,1995.25205479452
"65",6.70161629084496,1995.25479452055
"66",6.70480644352851,1995.25753424658
"67",6.70171462082195,1995.2602739726
"68",6.70280767523933,1995.26301369863
"69",6.71083975846122,1995.27123287671
"70",6.71517732510552,1995.27397260274
"71",6.71965308123091,1995.27671232877
"72",6.72460139389907,1995.27945205479
"73",6.72241317332009,1995.2904109589
"74",6.71627994188437,1995.29315068493
"75",6.70508813282678,1995.29589041096
"76",6.7080963060006,1995.29863013699
"77",6.71349068964714,1995.30136986301
"78",6.72011155213326,1995.3095890411
"79",6.72296671643035,1995.31232876712
"80",6.72971650556479,1995.31506849315
"81",6.73453221944302,1995.31780821918
"82",6.73812877393548,1995.32054794521
"83",6.73534049367681,1995.32876712329
"84",6.73553055082488,1995.33150684932
"85",6.74554219682594,1995.33424657534
"86",6.74140549169788,1995.33698630137
"87",6.73759550182656,1995.3397260274
"88",6.74440068041021,1995.34794520548
"89",6.7430810673551,1995.35068493151
"90",6.74243241625276,1995.35342465753
"91",6.74973213065129,1995.35616438356
"92",6.75569907321194,1995.35890410959
"93",6.76048421126244,1995.36712328767
"94",6.76647969162418,1995.3698630137
"95",6.77070913742923,1995.37260273973
"96",6.76164220852269,1995.37534246575
"97",6.76223228160175,1995.37808219178
"98",6.76984860647902,1995.38630136986
"99",6.77951274991508,1995.38904109589
"100",6.77762379155283,1995.39178082192
"101",6.77687181407207,1995.39452054795
"102",6.77064032449146,1995.39726027397
"103",6.75541963165305,1995.40821917808
"104",6.76224385954451,1995.41095890411
"105",6.76713597722944,1995.41369863014
"106",6.77190115776804,1995.41643835616
"107",6.78315528356412,1995.42465753425
"108",6.77923988403804,1995.42739726027
"109",6.78171577139947,1995.4301369863
"110",6.78686367234656,1995.43287671233
"111",6.78488684017955,1995.43561643836
"112",6.78894919769298,1995.44383561644
"113",6.79596299041299,1995.44657534247
"114",6.79762783176044,1995.44931506849
"115",6.80536810854902,1995.45205479452
"116",6.81196000794008,1995.45479452055
"117",6.82664286195684,1995.46301369863
"118",6.83500179202212,1995.46575342466
"119",6.834313241045,1995.46849315068
"120",6.84597564408233,1995.47123287671
"121",6.84467701914388,1995.47397260274
"122",6.83193196878464,1995.48219178082
"123",6.82389529259536,1995.48493150685
"124",6.82493874948605,1995.48767123288
"125",6.83174858015649,1995.4904109589
"126",6.83888741253887,1995.49315068493
"127",6.84004376014071,1995.50136986301
"128",6.84781418094759,1995.50684931507
"129",6.85954144135465,1995.5095890411
"130",6.8770486285148,1995.51232876712
"131",6.88410787509579,1995.52054794521
"132",6.87752282001484,1995.52328767123
"133",6.89632015141369,1995.52602739726
"134",6.90188812484532,1995.52876712329
"135",6.90708507144323,1995.53150684932
"136",6.91362801565699,1995.5397260274
"137",6.8962190205003,1995.54246575342
"138",6.85947847776939,1995.54520547945
"139",6.86752686554943,1995.54794520548
"140",6.86877535763618,1995.55068493151
"141",6.88609232949917,1995.55890410959
"142",6.90148566596854,1995.56164383562
"143",6.90793525578534,1995.56438356164
"144",6.91835883505111,1995.56712328767
"145",6.91302141750232,1995.5698630137
"146",6.90896456949553,1995.57808219178
"147",6.89882551202643,1995.58082191781
