$t_c$,m,omega,phi
2000.5809466125122,0.520388185196525,9.68481710737487,1.7892417693971987
2000.0277269362198,0.5765172767636196,12.736542278922276,5.100454331709577
2000.0409778036874,0.5673059082150596,8.725131412851416,5.627114879994013
2000.2807597464132,0.5238439541296139,9.80113646343385,1.817529417083132
2000.8102555798368,0.5933504591171739,12.585117976922907,1.031317390630515
2000.3220457536695,0.4500814932232686,10.997743109352113,3.2204441607115557
2000.2845553782377,0.4937454064264066,9.611510866734104,0.31078098590733405
2000.230847961515,0.5389823301140892,10.007804455051577,1.9422062797062345
2000.7671009785502,0.594223212699095,10.722213050932599,4.095414946493991
2000.5539713590936,0.5049667343401599,11.145953514409527,4.495111755943559
2000.5734626855237,0.5832489191566167,10.56979337369251,3.660034966949495
2000.03193265392,0.5206106459411479,9.46359892721133,6.07772382039634
2000.7816647060026,0.5837328681137502,11.957370911212742,5.734449016510949
2000.229785351884,0.49837730822796467,8.829467209966126,5.773606718626423
2000.0798114352526,0.44813622917358764,9.115495080173687,5.59566125745508
