"","A","B","C","loss","t_c","m","omega","phi"
"1",7.8,-0.5,0.05,0.0338732524291359,1994.17565299749,0.83327114963904,11.0341511317529,5.65138193506933
"2",7.9,-0.6,0.05,0.0353023089126795,1994.18944846381,0.672697445439796,9.95697903582671,0.498603067394341
"3",7.9,-0.5,0.05,0.0357949183778884,1994.3276785574,0.612946894361327,12.5218932691108,1.38210750397852
"4",8,-0.7,0.04,0.0365544114290654,1993.97386961966,0.299962107185274,6.48433220262329,5.44100414335749
"5",8,-0.7,0.05,0.036809604464668,1994.11402340722,0.479871272761375,11.9272701628894,3.82693204799503
"6",8,-0.6,0.05,0.038138951852986,1994.26374992006,0.382234394239883,11.1709145259035,0.694814888160442
"7",7.9,-0.6,0.04,0.0387971021294548,1994.05941829093,0.457933442573994,7.86732006946113,5.7412007709977
"8",7.8,-0.5,0.04,0.0395349617400892,1994.19352502802,0.893255408729116,11.4179424817751,5.97870561650022
"9",7.9,-0.5,0.04,0.0411304622486032,1994.37970849724,0.677354040617744,11.2359203198769,2.78908878779077
"10",7.7,-0.4,0.05,0.0414165231177571,1994.03548500756,0.729994188994169,7.95053726566645,4.89670391318622
"11",7.8,-0.4,0.04,0.0429304530994929,1994.34494510363,0.746988083577404,12.2234315705718,1.74407437655167
"12",7.7,-0.3,0.05,0.0438258514547853,1994.28596156207,0.874714897821347,10.2333686609442,1.38271423023396
"13",7.8,-0.4,0.05,0.0455895737141714,1994.26929791853,0.537355105765164,10.7737589721025,0.798760519551313
"14",8,-0.6,0.04,0.0457761998633242,1994.46139900471,0.803924863102535,10.1239644006127,4.37684196262074
"15",8,-0.7,0.03,0.047566601717572,1994.16308308618,0.531459639780223,10.0894205546938,0.0172902777866142
"16",7.8,-0.6,0.05,0.048824095431502,1994.01195935586,0.673558827489614,6.51664936418335,0.0802966711853248
"17",7.9,-0.5,0.03,0.0488450664134829,1994.42350369389,0.818620665526638,11.2682665282628,3.50157031672152
"18",7.9,-0.6,0.03,0.048889553382464,1994.20963045962,0.705393318086863,10.052010092147,0.627111039939597
"19",7.9,-0.4,0.05,0.0491483700345396,1994.77314103852,0.468071132091184,12.3826725028533,0.970299792667723
"20",8,-0.5,0.04,0.0497402443237574,1994.6911242917,0.70470312849308,11.7546134106039,0.455486940249819
"21",8,-0.5,0.03,0.0517133040330204,1994.68383253404,0.786787998552124,12.3083249275029,0.421832666856152
"22",8,-0.5,0.05,0.0527167506128701,1994.69819910118,0.563310649463286,12.7299220602727,0.558871071741489
"23",7.8,-0.4,0.03,0.0528057564214513,1994.36141525077,0.855475451393674,12.2205633512931,2.28681740064762
"24",7.9,-0.4,0.04,0.052848864062015,1994.7189233591,0.754247870606681,11.6468502656401,0.325874925617731
"25",7.8,-0.5,0.03,0.0529862438784323,1994.15449410576,0.779480637516826,9.63034451830511,0.150191405514894
"26",7.7,-0.4,0.04,0.0554092682767094,1994.04198731598,0.809363094096382,8.54105042219938,4.43529926888599
"27",7.8,-0.3,0.05,0.0556125717085132,1994.67800833137,0.867765301341812,11.5394233291348,6.11174027573348
"28",7.9,-0.4,0.03,0.0559760374230479,1994.66827727303,0.786777302095046,12.8160442587687,6.03014871528892
"29",8,-0.6,0.03,0.0571154930410094,1994.45792050077,0.8101030378292,10.0054201193464,4.11418478573504
"30",8,-0.6,0.02,0.0574032928112266,1994.42077153572,0.704925495292991,12.8014391329683,2.84679678107652
"31",7.9,-0.5,0.02,0.05821712100387,1994.41552482693,0.851858201622963,12.030763846046,2.97854833022309
"32",8,-0.3,0.04,0.0589755473205535,1995.63845980827,0.89266106315578,12.7717089873816,2.1409103904026
"33",7.9,-0.7,0.05,0.0593698187749606,1994.1810719294,0.853603606546919,6.43746060303723,2.78382407185422
"34",7.7,-0.5,0.05,0.0599761787273244,1993.98578093472,0.882251257418344,9.59885687664306,2.86158092195437
"35",8,-0.4,0.05,0.0600173196109269,1995.09626234097,0.815116067696363,12.8470138182553,4.28949766725262
"36",8,-0.8,0.05,0.0600795874193659,1994.12523680064,0.658056757661204,7.32582960173022,1.65155015475978
"37",8,-0.7,0.02,0.0607932079340737,1994.18918967037,0.548548420953254,9.93752252919755,0.21640781934384
"38",7.8,-0.6,0.03,0.0622868562699803,1994.06368656542,0.795828271408876,6.80214016415024,0.786945975344314
"39",7.6,-0.1,0.05,0.0626505939206377,1995.25425194491,0.875189916789532,12.3851352913771,5.21880283194859
"40",7.7,-0.2,0.05,0.0628730130323493,1994.69564714787,0.891222823256006,11.1541502663943,6.1902688653473
"41",7.8,-0.6,0.04,0.0630193691626455,1994.03419276909,0.769537830570092,6.67976328769388,0.55058837872646
"42",8,-0.8,0.04,0.0630710410607669,1994.02727072849,0.471378967693696,7.19986797651897,6.15014673902922
"43",7.8,-0.5,0.02,0.0632376239659052,1994.16282751015,0.800821269365648,10.5739208645343,5.34598509935291
"44",7.9,-0.6,0.02,0.063843125690845,1994.11855730841,0.573519575875252,10.1756381877931,4.92298089648996
"45",7.7,-0.4,0.03,0.0652237766248473,1993.94616393489,0.557490816743423,6.07963367089784,5.10373368643014
"46",7.8,-0.3,0.04,0.0653622733448349,1994.70424352935,0.580915719519059,12.8186509582835,0.219372547423331
"47",7.9,-0.7,0.03,0.0657403216285161,1994.01995685859,0.576336883256833,7.54932372772601,5.36936329487811
"48",8,-0.4,0.04,0.0659230317855574,1995.08838063921,0.756900096125901,10.4168321653269,3.31752475517086
"49",7.9,-0.3,0.04,0.0663166429549019,1995.24355159738,0.820304019656032,11.0893510008852,4.57268527164065
"50",7.8,-0.3,0.03,0.0665820052687325,1994.72286191481,0.854948662904402,12.0656906755564,0.352868780961109
"51",7.9,-0.7,0.04,0.0666737030773586,1993.9984393046,0.546659206381689,7.36732403417894,5.83516937789117
"52",7.9,-0.4,0.02,0.0666912850546862,1994.67239086586,0.893781447658936,12.9530957832079,0.300799681483639
"53",7.7,-0.2,0.04,0.0672382132813456,1994.685102811,0.851300814375281,11.9223129193609,6.06176406318934
"54",7.7,-0.5,0.04,0.0677151061269268,1993.97358950282,0.857888681131105,10.1434570608738,1.6893131949877
"55",7.7,-0.5,0.03,0.0684671498420223,1994.00413969601,0.893463276233524,6.13369163657383,0.653587774222807
"56",7.7,-0.3,0.04,0.0687400593105777,1994.3169853092,0.789799776269744,8.36806140614984,2.56132047402531
"57",7.7,-0.5,0.02,0.0702896791458419,1993.99619975181,0.899085056098799,6.68233953874248,5.39459657975904
"58",8,-0.8,0.03,0.0711808390853246,1994.08413476675,0.568621993033836,6.9616036163643,0.859396310037277
"59",7.9,-0.3,0.05,0.0715131911213298,1995.19213607558,0.890395613076786,7.73249421291985,2.64787813469169
"60",7.9,-0.2,0.05,0.0726792989153119,1996.25541009761,0.881051775440574,10.5796132779991,3.04683273992189
"61",7.8,-0.5,0.01,0.0746379329088016,1994.19589998456,0.885102916477869,12.5861136842674,5.39493653534432
"62",7.7,-0.3,0.03,0.0750259569084764,1994.28928205021,0.899575879176458,9.28475226547259,1.39159213877735
"63",8,-0.5,0.02,0.0750873033962489,1994.67086451275,0.645456815697253,11.9776369393415,5.93090113973569
"64",7.6,-0.1,0.04,0.0758339916263625,1994.90089360073,0.864120418267945,11.8190317520639,1.78491530718036
"65",7.8,-0.6,0.02,0.0758592188588557,1994.04852616174,0.801839838580539,7.79229915743539,6.17904692145877
"66",7.9,-0.2,0.04,0.0758922440461367,1996.27324038565,0.857242610088239,11.9006774463536,4.40755138728487
"67",7.8,-0.4,0.02,0.0763753178489854,1994.3438181302,0.861106552338848,10.8784169162391,2.23856068299591
"68",7.9,-0.3,0.03,0.0765935537968331,1995.23965036318,0.754933681494246,12.6183413043618,5.28714565791685
"69",8,-0.7,0.01,0.076599333024581,1994.2360380659,0.635906619609644,12.8069868349315,0.0201196274270501
"70",8,-0.6,0.01,0.077335156705108,1994.43594338442,0.761183831933886,10.4468946412283,3.57949749900622
"71",7.8,-0.2,0.04,0.077614430836775,1995.47509515107,0.838433050705741,10.5225489964165,5.48367092277916
"72",7.9,-0.7,0.02,0.0776299254311228,1994.05888633515,0.628178275873264,6.48020573014704,0.988316150588013
"73",7.9,-0.6,0.01,0.078672777371917,1994.19613936861,0.675999331381172,11.3030969591346,5.5229485698832
"74",7.7,-0.4,0.02,0.0791231756674341,1993.97340197015,0.635182385612279,7.04083150609707,4.67417432759292
"75",8,-0.4,0.02,0.0791785842326218,1994.9558902989,0.885351522142688,9.99205731693655,1.90384737419928
"76",7.6,-0.2,0.05,0.0794487947538826,1994.14964981028,0.829315030947328,8.21170135925058,6.22079591654818
"77",7.8,-0.7,0.04,0.0806667128901817,1994.03728441529,0.895343331837406,6.17306915158406,1.14013126180153
"78",8,-0.4,0.03,0.0806780208799406,1995.04804510662,0.740075245313346,12.7750922989411,4.05939406614831
"79",7.8,-0.2,0.03,0.0822661382229779,1995.36826526117,0.85622104027619,12.5117122158408,5.74189706221817
"80",7.8,-0.6,0.01,0.0822680483532679,1994.08985379811,0.886155278794467,9.44977676103978,5.03663497744244
"81",7.8,-0.2,0.05,0.0829301794384703,1995.55716809172,0.698160167814543,12.2728731806468,0.401795512898739
"82",7.7,-0.5,0.01,0.0829584283057623,1993.97916849865,0.871777954076727,8.72779544454534,3.14282385885539
"83",8,-0.8,0.02,0.0834115553227579,1994.02773823891,0.497155806639542,8.2709930401373,5.40791514565458
"84",7.6,-0.3,0.05,0.0836697544545215,1993.93682269496,0.882566555651526,8.24779355258215,2.08072477979605
"85",7.7,-0.1,0.05,0.0837627287264764,1996.46078545716,0.841431072012832,10.9466765968439,3.93054888854758
"86",8,-0.2,0.04,0.0845618687467706,1996.98235615583,0.847328465121488,11.002178896529,5.97597368306232
"87",8,-0.3,0.05,0.0856987425839531,1995.69555215172,0.899767595529556,8.48309914042087,5.3389216624886
"88",7.9,-0.5,0.01,0.0870039539395385,1994.40076590321,0.769611953695615,10.8852691486245,3.72163026350541
"89",7.6,-0.3,0.04,0.087352164450022,1993.91945062042,0.838363906399657,7.67336211695025,3.25112863599741
"90",8,-0.3,0.03,0.0885709041625524,1995.6411399797,0.775967963629713,11.5356469476052,0.406237440551426
"91",7.7,-0.2,0.03,0.0888257412021777,1994.81092624312,0.862878621245424,12.8352044729982,1.55178323060979
"92",7.7,-0.4,0.01,0.0893051615962599,1994.10647907007,0.881466966215521,10.8631674878222,4.43048660268199
"93",8,-0.5,0.01,0.0896201202774306,1994.63997484767,0.80709141700839,10.6501266310612,5.06907785665096
"94",8,-0.4,0.01,0.0897343852741337,1994.93136083668,0.89639500528574,12.3898165163118,2.22385937058915
"95",7.7,-0.1,0.04,0.0900558175449235,1996.7859447163,0.804849439424773,12.7283105428796,1.04431091295272
"96",7.8,-0.3,0.02,0.0900841581719214,1994.67641216493,0.887036843970418,9.74338503387601,5.7032734167864
"97",7.7,-0.6,0.05,0.0902419774050023,1993.93383850289,0.879625773026298,7.79610994353425,3.3669962814585
"98",7.6,-0.4,0.04,0.0912907145824612,1993.87556173396,0.856465019720296,6.00954113865737,3.61956271049643
"99",7.9,-0.7,0.01,0.0918655482434307,1994.05775890926,0.642419060723235,10.6399729627495,3.62241409631571
"100",8,-0.2,0.05,0.0923468529013953,1997.14959529127,0.898744110452632,8.84404233439515,4.14633575548912
"101",7.9,-0.3,0.02,0.092606266802029,1995.07222636843,0.859592457891752,11.3662915348153,3.19574694797733
"102",8,-0.9,0.05,0.0930175867636834,1994.04470027277,0.663570714617769,6.08000988016526,1.5976593292363
"103",8,-0.2,0.03,0.0930791121739555,1996.67238274503,0.869177283843358,11.5449364757709,5.32743127337634
"104",7.7,-0.3,0.02,0.0930937619554996,1994.26123123949,0.827634881498913,10.9715357796522,0.463728081027364
"105",7.9,-0.8,0.04,0.0939062735006349,1994.04262241434,0.735155418794602,6.44586900024054,1.18542672507272
